Date,Open,High,Low,Close,Adj Close,Volume
2012-03-28,10153.509766,10197.799805,10124.280273,10182.570313,10182.570313,141200
2012-03-29,10134.780273,10147.040039,10084.769531,10114.790039,10114.790039,149400
2012-03-30,10089.099609,10111.089844,10033.19043,10083.55957,10083.55957,137400
2012-04-02,10161.719727,10190.349609,10109.870117,10109.870117,10109.870117,152000
2012-04-03,10082.209961,10084.070313,10040.990234,10050.389648,10050.389648,112400
2012-04-04,10045.879883,10059.19043,9819.990234,9819.990234,9819.990234,147800
2012-04-05,9737.5,9806.400391,9692.700195,9767.610352,9767.610352,165200
2012-04-06,9710.25,9739.589844,9659.160156,9688.450195,9688.450195,118400
2012-04-09,9565.30957,9618.099609,9535.330078,9546.259766,9546.259766,111600
2012-04-10,9583.360352,9648.120117,9509.719727,9538.019531,9538.019531,134800
2012-04-11,9398.599609,9487.839844,9388.139648,9458.740234,9458.740234,155800
2012-04-12,9486.19043,9541.040039,9449.490234,9524.790039,9524.790039,134800
2012-04-13,9613.19043,9690.290039,9603.969727,9637.990234,9637.990234,171400
2012-04-16,9522.700195,9532.910156,9464.490234,9470.639648,9470.639648,113000
2012-04-17,9476.150391,9519.799805,9455.320313,9464.709961,9464.709961,109200
2012-04-18,9594.299805,9682.879883,9594.299805,9667.259766,9667.259766,116800
2012-04-19,9578.679688,9617.929688,9565.830078,9588.379883,9588.379883,118800
2012-04-20,9574.990234,9580.870117,9532.679688,9561.360352,9561.360352,109800
2012-04-23,9599.200195,9643.269531,9520.980469,9542.169922,9542.169922,101600
2012-04-24,9466.080078,9510.700195,9423.299805,9468.040039,9468.040039,106400
2012-04-25,9578.419922,9582.730469,9530.019531,9561.009766,9561.009766,97400
2012-04-26,9613.160156,9630.969727,9531.030273,9561.830078,9561.830078,104800
2012-04-27,9564.400391,9691.700195,9463.599609,9520.889648,9520.889648,165600
2012-05-01,9471.660156,9472.25,9332.790039,9350.950195,9350.950195,118000
2012-05-02,9397.870117,9417.959961,9344.530273,9380.25,9380.25,94600
2012-05-07,9198.169922,9206.450195,9109.009766,9119.139648,9119.139648,133000
2012-05-08,9190.5,9207.55957,9159.469727,9181.650391,9181.650391,112400
2012-05-09,9112.719727,9115.94043,9021.200195,9045.05957,9045.05957,131600
2012-05-10,9013.259766,9075.629883,8985.900391,9009.650391,9009.650391,141600
2012-05-11,9019.400391,9050.610352,8944.629883,8953.30957,8953.30957,143400
2012-05-14,8986.219727,9031.089844,8947.820313,8973.839844,8973.839844,112800
2012-05-15,8910.849609,8930.780273,8838.780273,8900.740234,8900.740234,145000
2012-05-16,8865.780273,8883.730469,8756.070313,8801.169922,8801.169922,145400
2012-05-17,8789.469727,8885.080078,8765.709961,8876.589844,8876.589844,160200
2012-05-18,8727.580078,8735.540039,8588.160156,8611.30957,8611.30957,155000
2012-05-21,8617.919922,8676.200195,8608.620117,8633.889648,8633.889648,110800
2012-05-22,8721.589844,8740.480469,8690.469727,8729.290039,8729.290039,111000
2012-05-23,8715.139648,8715.139648,8538.69043,8556.599609,8556.599609,142800
2012-05-24,8537.990234,8597.849609,8496.610352,8563.379883,8563.379883,134200
2012-05-25,8616.849609,8616.849609,8550.929688,8580.389648,8580.389648,113600
2012-05-28,8604.990234,8624.509766,8568.870117,8593.150391,8593.150391,97000
2012-05-29,8565.55957,8657.080078,8517.179688,8657.080078,8657.080078,129600
2012-05-30,8637.950195,8656.709961,8568.969727,8633.19043,8633.19043,119000
2012-05-31,8499.679688,8542.730469,8455.129883,8542.730469,8542.730469,162800
2012-06-01,8465.469727,8487.44043,8422.5,8440.25,8440.25,125200
2012-06-04,8278.650391,8303.349609,8238.959961,8295.629883,8295.629883,126800
2012-06-05,8331.019531,8388.139648,8306.929688,8382.0,8382.0,137000
2012-06-06,8428.360352,8549.0,8412.549805,8533.530273,8533.530273,160200
2012-06-07,8639.25,8647.790039,8599.639648,8639.719727,8639.719727,127400
2012-06-08,8609.780273,8611.929688,8427.200195,8459.259766,8459.259766,182800
2012-06-11,8612.139648,8665.799805,8594.580078,8624.900391,8624.900391,108800
2012-06-12,8478.780273,8575.870117,8452.5,8536.719727,8536.719727,113200
2012-06-13,8557.570313,8615.889648,8554.139648,8587.839844,8587.839844,101600
2012-06-14,8531.400391,8592.169922,8520.990234,8568.889648,8568.889648,101600
2012-06-15,8608.429688,8625.19043,8552.75,8569.320313,8569.320313,106600
2012-06-18,8723.549805,8766.55957,8711.490234,8721.019531,8721.019531,109800
2012-06-19,8692.820313,8712.860352,8630.660156,8655.870117,8655.870117,99200
2012-06-20,8739.099609,8770.410156,8711.219727,8752.30957,8752.30957,114200
2012-06-21,8794.030273,8859.040039,8790.860352,8824.070313,8824.070313,132600
2012-06-22,8733.5,8830.339844,8731.790039,8798.349609,8798.349609,113200
2012-06-25,8837.830078,8837.830078,8726.400391,8734.620117,8734.620117,92800
2012-06-26,8671.610352,8712.679688,8619.360352,8663.990234,8663.990234,127600
2012-06-27,8677.759766,8730.490234,8641.519531,8730.490234,8730.490234,106000
2012-06-28,8816.070313,8881.44043,8805.650391,8874.110352,8874.110352,118600
2012-06-29,8811.459961,9044.040039,8803.330078,9006.780273,9006.780273,143800
2012-07-02,9103.790039,9103.790039,9003.480469,9003.480469,9003.480469,99800
2012-07-03,9013.650391,9082.389648,9012.860352,9066.589844,9066.589844,121000
2012-07-04,9119.69043,9136.019531,9095.30957,9104.169922,9104.169922,105600
2012-07-05,9078.459961,9130.540039,9069.009766,9079.799805,9079.799805,97000
2012-07-06,9052.700195,9082.040039,8977.349609,9020.75,9020.75,108200
2012-07-09,8922.990234,8954.44043,8892.169922,8896.879883,8896.879883,92000
2012-07-10,8922.030273,8966.990234,8855.929688,8857.730469,8857.730469,108400
2012-07-11,8819.040039,8851.0,8797.730469,8851.0,8851.0,98000
2012-07-12,8859.389648,8862.799805,8709.75,8720.009766,8720.009766,141800
2012-07-13,8701.349609,8759.05957,8695.44043,8724.120117,8724.120117,122800
2012-07-17,8740.980469,8808.870117,8711.730469,8755.0,8755.0,112000
2012-07-18,8796.150391,8802.089844,8715.139648,8726.740234,8726.740234,119000
2012-07-19,8795.0,8835.799805,8771.19043,8795.549805,8795.549805,113200
2012-07-20,8785.870117,8792.19043,8662.719727,8669.870117,8669.870117,117000
2012-07-23,8582.280273,8606.230469,8500.269531,8508.320313,8508.320313,103400
2012-07-24,8497.990234,8517.519531,8446.179688,8488.089844,8488.089844,126200
2012-07-25,8410.980469,8433.580078,8328.019531,8365.900391,8365.900391,137400
2012-07-26,8408.219727,8448.549805,8358.509766,8443.099609,8443.099609,153400
2012-07-27,8547.339844,8569.089844,8522.740234,8566.639648,8566.639648,129000
2012-07-30,8658.830078,8663.299805,8589.19043,8635.44043,8635.44043,112000
2012-07-31,8600.919922,8732.839844,8585.259766,8695.05957,8695.05957,140200
2012-08-01,8622.040039,8654.610352,8578.160156,8641.849609,8641.849609,123200
2012-08-02,8642.889648,8705.910156,8635.509766,8653.179688,8653.179688,127000
2012-08-03,8539.709961,8565.05957,8513.200195,8555.110352,8555.110352,141800
